text,label
오늘 하루도 너무 수고 많았어요. 항상 당신 생각뿐이에요.,0
이렇게 말이 잘 통하는 사람은 처음이에요. 정말 운명 같아요.,0
당신은 제 인생에서 가장 특별하고 소중한 사람입니다.,0
아침에 눈뜰 때마다 당신 메시지가 있어서 너무 행복해요.,0
당신의 따뜻한 말 한마디가 저에게 큰 힘이 됩니다.,0
자기야 오늘 밤도 내 꿈꿔요. 내일 또 대화해요.,0
지금 해외 분쟁 지역이라 갑자기 통신이 끊길 수도 있어요.,1
세관에서 선물함이 계류되어서 당장 세금을 내지 않으면 몰수당한대요.,1
비밀 프로젝트 진행 중에 계좌가 묶여서 너무 당황스러워요.,1
가족 수술비가 급히 필요한데 현지 은행 시스템이 마비되었어요.,1
지금 당장 보증금을 마련하지 못하면 계약이 파기되고 전재산을 잃어요.,1
보증금 처리가 안 되면 제 신변이 위험해집니다.,1
오늘 오후 3시 전까지 송금하지 않으면 모든 기회가 날아가요.,2
제발 이번 한 번만 날 도와주세요. 바로 해결하고 배로 갚을게요.,2
시간이 얼마 없어요! 지금 바로 이 계좌로 500만 원만 내주세요.,2
지금 바로 이체해 주지 않으면 저는 정말 끝장납니다.,2
더 이상 지체할 시간이 없어요. 지금 은행 앱 열어서 확인해 봐요.,2
10분 안에 입금해야 세관 차류가 풀립니다. 빨리요!,2
우리의 미래를 위한 투자인데 날 못 믿는 거 아니죠?,3
진짜 사랑한다면 이렇게 망설일 이유가 없잖아요.,3
당신만이 날 이 수렁에서 구원해 줄 수 있는 유일한 사람이에요.,3
우리가 함께할 날이 멀지 않았어요. 조금만 더 참고 절 믿어주세요.,3
나에 대한 마음이 겨우 이 정도였나요? 너무 서운해요.,3
절 사랑한다면 제 행동을 의심하지 말아 주세요.,3
